"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
29,"Sun Feb 16 2025 7:46:06 PM",1739735166,"Fastball","N","-12.00","48.09",82.79,2042.8,1618.3,79.2,"01:16",0.9,17.9,8.3,"-","-","13.2","10.3","-3.72","1.88","4.11","1.75",1.9003887176513672,"37.61","1277838@1739735166","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
30,"Sun Feb 16 2025 7:46:53 PM",1739735213,"Fastball","N","-8.20","12.64",82.45,2111.4,1791.8,84.9,"01:28",0.8,9.6,18.7,"-","-","13.3","12.8","-4.44","-0.44","4.07","1.85",1.9156742095947266,"31.94","1277838@1739735213","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
31,"Sun Feb 16 2025 7:47:19 PM",1739735239,"Fastball","Y","-9.45","27.74",83.67,2042.8,1861.6,91.1,"01:18",0.9,18.4,11,"-","-","15.3","12.2","-3.74","-0.13","4.17","1.76",1.8845634460449219,"24.31","1277838@1739735239","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
32,"Sun Feb 16 2025 7:47:39 PM",1739735259,"Slider","Y","-8.60","30.08",76.25,2064.6,585.6,28.4,"11:36",0.9,4.8,-0.3,"-","-","6.3","-2.2","-3.00","2.26","3.92","2.08",1.898305892944336,"73.52","1277838@1739735259","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
33,"Sun Feb 16 2025 7:48:02 PM",1739735282,"Fastball","N","-17.26","29.85",83.22,2095.7,1742,83.1,"01:32",0.9,11.8,7.9,"-","-","12.0","12.1","-3.92","0.54","4.21","1.46","-","33.77","1277838@1739735282","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
34,"Sun Feb 16 2025 7:48:39 PM",1739735319,"Slider","N","4.03","45.65",79.58,1917.9,656.1,34.2,"05:44",0.8,1.6,-1.9,"-","-","-5.9","-0.1","-1.42","4.38","3.71","1.94","-","70.00","1277838@1739735319","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
35,"Sun Feb 16 2025 7:48:58 PM",1739735338,"Fastball","Y","-9.27","27.57",75.69,1812.8,1709.6,94.3,"01:54",0.9,6.2,12.1,"-","-","10.7","16.3","-4.16","2.19","3.69","2.02",2.073762893676758,"19.43","1277838@1739735338","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
36,"Sun Feb 16 2025 7:49:19 PM",1739735359,"Cutter","Y","-8.15","31.58",79.71,2123.8,855.5,40.3,"00:38",0.9,7.1,-0.2,"-","-","8.3","2.2","-2.63","1.50","4.22","1.75",2.0052318572998047,"66.25","1277838@1739735359","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
37,"Sun Feb 16 2025 7:49:43 PM",1739735383,"Slider","N","-12.73","40.38",78.86,2011.7,728,36.2,"00:00",0.9,10.9,0.6,"-","-","8.0","-0.8","-3.04","2.09","4.18","1.70",1.8777484893798828,"68.79","1277838@1739735383","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
38,"Sun Feb 16 2025 7:51:08 PM",1739735468,"Slider","N","-22.65","24.28",76.73,2048.8,306.8,15,"10:50",1,5.7,-4.1,"-","-","2.9","-3.0","-3.72","1.47","4.07","1.90",1.8527603149414062,"81.39","1277838@1739735468","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
