
"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
32,"Sun Feb 16 2025 6:53:25 PM",1739732005,"ChangeUp","Y","-1.92","36.14",76.55,1585.2,1387.6,87.5,"01:56",0.8,5.3,18.9,"-","-","9.0","14.5","-4.91","0.95","5.48","2.69","-","-28.92","1269881@1739732005","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
33,"Sun Feb 16 2025 6:53:51 PM",1739732031,"Fastball","N","-6.84","57.45",82.55,1912.3,1694.5,88.6,"01:28",0.8,22,18.8,"-","-","13.5","13.3","-4.92","0.36","5.91","2.40",1.9417477,"-27.62","1269881@1739732031","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
34,"Sun Feb 16 2025 6:54:05 PM",1739732045,"Fastball","Y","-9.93","40.47",83.4,1959.4,1738.3,88.7,"01:28",0.8,19.6,19.2,"-","-","13.5","13.2","-5.35","-0.89","5.73","2.47",2.0154572,"-27.48","1269881@1739732045","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
35,"Sun Feb 16 2025 6:54:17 PM",1739732057,"Slider","N","-15.65","22.13",73.77,1737.8,451.8,26,"05:48",0.9,-5.9,1,"-","-","-5.4","-0.7","-4.48","1.05","5.40","2.67","-","74.93","1269881@1739732057","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
36,"Sun Feb 16 2025 6:54:34 PM",1739732074,"Fastball","Y","8.53","31.45",84.22,2043.1,1748.2,85.6,"01:44",0.9,15,19.1,"-","-","11.4","14.5","-3.91","-1.33","5.76","2.70",2.042387,"-31.17","1269881@1739732074","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
37,"Sun Feb 16 2025 6:54:50 PM",1739732090,"ChangeUp","N","-26.37","18.46",77.07,1741.2,498.2,28.6,"04:16",0.9,-2.6,0.7,"-","-","-3.7","3.5","-5.33","0.05","5.56","2.61",2.129715,"73.37","1269881@1739732090","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
38,"Sun Feb 16 2025 6:55:06 PM",1739732106,"Fastball","Y","-5.54","34.85",85.75,1973.5,1746.9,88.5,"01:28",0.8,9.6,18.3,"-","-","13.2","12.7","-5.00","-0.48","5.65","2.55",2.1329536,"-27.72","1269881@1739732106","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
39,"Sun Feb 16 2025 6:55:28 PM",1739732128,"Slider","Y","-1.55","32.60",73.97,1731.4,494.1,28.5,"05:48",0.9,-0.3,-1.2,"-","-","-5.8","-0.6","-3.04","1.26","5.49","2.75",2.0911999,"73.42","1269881@1739732128","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
40,"Sun Feb 16 2025 6:55:40 PM",1739732140,"Fastball","N","-14.24","31.83",81.97,2004.5,1723.5,86,"01:30",0.8,16.5,19.1,"-","-","13.2","13.4","-5.74","-1.48","5.83","2.48",1.9944477,"-30.70","1269881@1739732140","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
41,"Sun Feb 16 2025 6:55:56 PM",1739732156,"-","N","-","-",84.93,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1269881@1739732156","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
42,"Sun Feb 16 2025 6:56:09 PM",1739732169,"ChangeUp","N","-13.91","29.29",76.06,1800.3,481.9,26.8,"04:42",0.9,2.2,-1.4,"-","-","-4.4","2.4","-4.27","0.65","5.53","2.86",2.0624943,"74.47","1269881@1739732169","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
43,"Sun Feb 16 2025 6:56:25 PM",1739732185,"Fastball","N","-20.65","12.86",81.46,2056.5,1591.9,77.4,"01:50",0.9,13.7,16.3,"-","-","9.8","13.9","-6.16","-2.87","5.71","2.51","-","-39.28","1269881@1739732185","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
44,"Sun Feb 16 2025 6:56:45 PM",1739732205,"Fastball","N","-2.77","47.26",84.89,1990.9,1691.8,85,"01:46",0.8,13.9,20.8,"-","-","10.8","14.4","-5.21","0.25","5.63","2.78",2.1027641,"-31.81","1269881@1739732205","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
45,"Sun Feb 16 2025 7:10:52 PM",1739733052,"Fastball","Y","8.42","28.14",80.75,1804,1621.7,89.9,"01:26",0.9,14.2,14.6,"-","-","13.4","12.8","-3.77","-1.23","5.78","2.92",2.071085,"-25.98","1269881@1739733052","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
46,"Sun Feb 16 2025 7:11:08 PM",1739733068,"-","N","-","-",72.47,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1269881@1739733068","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
47,"Sun Feb 16 2025 7:11:25 PM",1739733085,"Fastball","Y","-5.24","19.93",81.51,1853,1627.7,87.8,"01:46",0.9,9.2,17.9,"-","-","10.8","14.3","-5.32","-1.37","5.53","2.89","-","-28.55","1269881@1739733085","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
48,"Sun Feb 16 2025 7:11:37 PM",1739733097,"Fastball","Y","-2.24","39.29",82.36,1941.1,1888.2,97.3,"01:30",0.9,16.6,17.6,"-","-","14.6","14.5","-5.01","-0.38","5.60","2.92",2.0490856,"-13.41","1269881@1739733097","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
